# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     	epsilon_solver  	epsilon_initial 	epsilon_final   	epsilon_iters   	epsilon_converged
1               	smoothSolver	1.00000000e+00	1.32156750e-02	1	1.00000000e+00	1.32622990e-02	1	1.00000000e+00	1.76545210e-02	1	false	smoothSolver	1.00000000e+00	4.00502340e-02	1	true	GAMG	1.00000000e+00	6.61151040e-02	5	true	smoothSolver	1.42144060e-02	3.43861670e-04	1	true
2               	smoothSolver	3.69022660e-01	1.54693520e-02	1	4.09614900e-01	1.77065820e-02	1	4.43023300e-01	1.71196960e-02	1	false	smoothSolver	4.39624980e-01	1.56788790e-02	1	true	GAMG	9.20600640e-02	5.28287470e-03	3	true	smoothSolver	2.57726400e-03	8.12621030e-05	1	true
3               	smoothSolver	1.48641730e-01	6.56585770e-03	1	2.63936480e-01	1.18513530e-02	1	2.36920380e-01	9.26297860e-03	1	false	smoothSolver	1.64856610e-01	5.79835210e-03	1	true	GAMG	4.86187010e-02	2.03409260e-03	3	true	smoothSolver	2.62117570e-03	8.00474170e-05	1	true
4               	smoothSolver	1.18103950e-01	5.38909020e-03	1	2.05700250e-01	9.39292730e-03	1	1.36190910e-01	5.44759340e-03	1	false	smoothSolver	6.56561100e-02	2.23789540e-03	1	true	GAMG	3.07433390e-02	2.83579470e-03	2	true	smoothSolver	2.10185750e-03	6.42949660e-05	1	true
5               	smoothSolver	1.02562500e-01	4.74531360e-03	1	1.56776800e-01	7.21078710e-03	1	8.20894470e-02	3.33588160e-03	1	false	smoothSolver	4.13108190e-02	1.36297970e-03	1	true	GAMG	2.07794640e-02	1.57469360e-03	2	true	smoothSolver	1.42037140e-03	4.49014980e-05	1	true
6               	smoothSolver	9.42078320e-02	4.34601090e-03	1	1.16020120e-01	5.33344640e-03	1	8.11135530e-02	3.34901540e-03	1	false	smoothSolver	3.67012930e-02	1.18541620e-03	1	true	GAMG	1.54518060e-02	1.26003050e-03	3	true	smoothSolver	1.02763250e-03	3.31025350e-05	1	true
7               	smoothSolver	7.39193620e-02	3.39616710e-03	1	7.71220440e-02	3.54049070e-03	1	8.31413550e-02	3.39239330e-03	1	false	smoothSolver	3.77474760e-02	1.23040090e-03	1	true	GAMG	1.72401040e-02	6.26063950e-04	4	true	smoothSolver	8.91842610e-04	2.79095680e-05	1	true
8               	smoothSolver	4.43233680e-02	2.02549240e-03	1	4.30803330e-02	1.97060080e-03	1	6.76493750e-02	2.67616880e-03	1	false	smoothSolver	3.91183670e-02	1.29143010e-03	1	true	GAMG	3.40191470e-02	2.56014130e-03	3	true	smoothSolver	8.16731880e-04	2.51354260e-05	1	true
9               	smoothSolver	1.79659790e-02	8.00660720e-04	1	1.77184390e-02	7.91568190e-04	1	4.73160980e-02	1.78096470e-03	1	false	smoothSolver	4.02431040e-02	1.34445320e-03	1	true	GAMG	8.90175480e-02	4.02989500e-03	3	true	smoothSolver	7.64342550e-04	2.30805090e-05	1	true
10              	smoothSolver	7.25898630e-03	2.58680720e-04	1	6.29574360e-03	2.19241550e-04	1	3.47870470e-02	1.22227340e-03	1	false	smoothSolver	4.17188850e-02	1.40345760e-03	1	true	GAMG	5.04347000e-01	3.45556290e-02	2	true	smoothSolver	7.30516130e-04	2.18477960e-05	1	true
